Id,LotArea,Neighborhood,BldgType,HouseStyle,YearBuilt,YearRemodAdd,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageCars,GarageArea,YrSold,SaleCondition,SalePrice
22,7449,IDOTRR,1Fam,1.5Unf,1930,1950,1108,3,1,Gd,1,Gd,Attchd,1930,1,280,2007,Normal,139400
23,9742,CollgCr,1Fam,1Story,2002,2002,1795,3,1,Gd,1,Gd,Attchd,2002,2,534,2008,Normal,230000
24,4224,MeadowV,TwnhsE,1Story,1976,1976,1060,3,1,TA,1,TA,Attchd,1976,2,572,2007,Normal,129900
25,8246,Sawyer,1Fam,1Story,1968,2001,1060,3,1,Gd,1,TA,Attchd,1968,1,270,2010,Normal,154000
26,14230,NridgHt,1Fam,1Story,2007,2007,1600,3,1,Gd,1,Gd,Attchd,2007,3,890,2009,Normal,256300
27,7200,NAmes,1Fam,1Story,1951,2000,900,3,1,Gd,0,NA,Detchd,2005,2,576,2010,Normal,134800
28,11478,NridgHt,1Fam,1Story,2007,2008,1704,3,1,Gd,1,Gd,Attchd,2008,3,772,2010,Normal,306000
29,16321,NAmes,1Fam,1Story,1957,1997,1600,2,1,TA,2,Gd,Attchd,1957,1,319,2006,Normal,207500
30,6324,BrkSide,1Fam,1Story,1927,1950,520,1,1,Fa,0,NA,Detchd,1920,1,240,2008,Normal,68500
31,8500,IDOTRR,1Fam,2Story,1920,1950,1317,3,1,TA,0,NA,Detchd,1920,1,250,2008,Normal,40000
32,8544,Sawyer,1Fam,1Story,1966,2006,1228,3,1,Gd,0,NA,Attchd,1966,1,271,2008,Normal,149350
33,11049,CollgCr,1Fam,1Story,2007,2007,1234,3,1,Gd,0,NA,Attchd,2007,2,484,2008,Normal,179900
34,10552,NAmes,1Fam,1Story,1959,1959,1700,4,1,Gd,1,Gd,Attchd,1959,2,447,2010,Normal,165500
35,7313,NridgHt,TwnhsE,1Story,2005,2005,1561,2,1,Ex,1,Gd,Attchd,2005,2,556,2007,Normal,277500
36,13418,NridgHt,1Fam,2Story,2004,2005,2452,4,1,Gd,1,Gd,BuiltIn,2004,3,691,2006,Normal,309000
37,10859,CollgCr,1Fam,1Story,1994,1995,1097,3,1,TA,0,NA,Attchd,1995,2,672,2009,Normal,145000
38,8532,NAmes,1Fam,1Story,1954,1990,1297,3,1,TA,1,TA,Attchd,1954,2,498,2009,Normal,153000
39,7922,NAmes,1Fam,1Story,1953,2007,1057,3,1,Gd,0,NA,Detchd,1953,1,246,2010,Abnorml,109000
40,6040,Edwards,Duplex,1Story,1955,1955,1152,2,2,Fa,0,NA,NA,NA,0,0,2008,AdjLand,82000
41,8658,NAmes,1Fam,1Story,1965,1965,1324,3,1,TA,1,TA,Attchd,1965,2,440,2006,Abnorml,160000
42,16905,Timber,1Fam,1Story,1959,1959,1328,2,1,TA,2,Gd,Attchd,1959,1,308,2007,Normal,170000
43,9180,SawyerW,1Fam,SFoyer,1983,1983,884,2,1,Gd,0,NA,Attchd,1983,2,504,2007,Normal,144000
44,9200,CollgCr,1Fam,1Story,1975,1980,938,3,1,TA,0,NA,Detchd,1977,1,308,2008,Normal,130250
45,7945,NAmes,1Fam,1Story,1959,1959,1150,3,1,TA,0,NA,Attchd,1959,1,300,2006,Normal,141000
46,7658,NridgHt,TwnhsE,1Story,2005,2005,1752,2,1,Ex,1,Gd,Attchd,2005,2,576,2010,Normal,319900
47,12822,Mitchel,1Fam,1.5Fin,2003,2003,2149,1,1,Gd,1,Ex,Attchd,2003,2,670,2009,Abnorml,239686
48,11096,Somerst,1Fam,1Story,2006,2006,1656,3,1,Gd,0,NA,Attchd,2006,3,826,2007,Normal,249700
49,4456,OldTown,2fmCon,2Story,1920,2008,1452,2,3,TA,0,NA,NA,NA,0,0,2009,Partial,113000
50,7742,Sawyer,1Fam,1Story,1966,1966,955,3,1,TA,0,NA,Attchd,1966,1,386,2007,Normal,127000
51,13869,Gilbert,1Fam,2Story,1997,1997,1470,3,1,TA,0,NA,Attchd,1997,2,388,2007,Normal,177000
52,6240,BrkSide,1Fam,1.5Fin,1934,1950,1176,3,1,TA,1,Gd,Detchd,1985,2,528,2006,Normal,114500
53,8472,IDOTRR,Duplex,1Story,1963,1963,816,2,1,TA,0,NA,CarPort,1963,2,516,2010,Normal,110000
54,50271,Veenker,1Fam,1Story,1981,1987,1842,0,1,Gd,1,Gd,Attchd,1981,3,894,2006,Normal,385000
55,7134,NAmes,1Fam,SLvl,1955,1955,1360,3,1,TA,1,TA,Detchd,1962,2,572,2007,Normal,130000
56,10175,NAmes,1Fam,1Story,1964,1964,1425,3,1,TA,1,Gd,Attchd,1964,2,576,2008,Normal,180500
57,2645,Somerst,Twnhs,2Story,1999,2000,1739,3,1,Gd,0,NA,Attchd,1999,2,480,2009,Abnorml,172500
58,11645,CollgCr,1Fam,2Story,2004,2004,1720,3,1,Gd,0,NA,Attchd,2004,2,565,2006,Normal,196500
59,13682,StoneBr,1Fam,2Story,2006,2006,2945,3,1,Gd,1,Gd,BuiltIn,2006,3,641,2006,Partial,438780
60,7200,CollgCr,1Fam,1Story,1972,1972,780,2,1,TA,0,NA,Detchd,1973,1,352,2008,Normal,124900
61,13072,SawyerW,1Fam,1Story,2004,2004,1158,3,1,Gd,0,NA,Detchd,2006,2,576,2006,Partial,158000
62,7200,IDOTRR,1Fam,2.5Unf,1920,1996,1111,3,1,Fa,0,NA,Detchd,1935,1,288,2007,Normal,101000
63,6442,NridgHt,TwnhsE,1Story,2006,2006,1370,2,1,Gd,1,Gd,Attchd,2006,2,484,2007,Normal,202500
64,10300,OldTown,1Fam,2Story,1921,1950,1710,3,1,TA,0,NA,Detchd,1990,2,480,2010,Normal,140000
65,9375,CollgCr,1Fam,2Story,1997,1998,2034,3,1,Gd,0,NA,Attchd,1998,2,645,2009,Normal,219500
66,9591,NridgHt,1Fam,2Story,2004,2005,2473,4,1,Gd,1,Gd,BuiltIn,2004,3,852,2007,Normal,317000
67,19900,NAmes,1Fam,1Story,1970,1989,2207,3,1,TA,1,Gd,Attchd,1970,2,576,2010,Normal,180000
68,10665,CollgCr,1Fam,1Story,2003,2003,1479,3,1,Gd,0,NA,Attchd,2003,2,558,2007,Normal,226000
69,4608,OldTown,1Fam,1Story,1945,1950,747,2,1,TA,0,NA,Attchd,1945,1,220,2010,Normal,80000
70,15593,ClearCr,1Fam,1.5Fin,1953,1953,2287,3,1,TA,1,TA,Attchd,1953,2,667,2006,Normal,225000
71,13651,NAmes,1Fam,1Story,1973,1973,2223,3,1,TA,2,Gd,Attchd,1973,2,516,2007,Normal,244000
72,7599,Mitchel,1Fam,1Story,1982,2006,845,2,1,TA,0,NA,Detchd,1987,2,360,2007,Normal,129500
73,10141,Gilbert,1Fam,2Story,1998,1998,1718,3,1,TA,1,TA,Attchd,1998,2,427,2009,Normal,185000
74,10200,NAmes,1Fam,1Story,1954,2003,1086,3,1,TA,0,NA,Attchd,1989,2,490,2010,Normal,144900
75,5790,OldTown,1Fam,2Story,1915,1950,1605,3,2,TA,0,NA,Detchd,1915,1,379,2010,Normal,107400
76,1596,MeadowV,Twnhs,SLvl,1973,1973,988,2,1,TA,0,NA,BuiltIn,1973,1,297,2009,Normal,91000
77,8475,NAmes,1Fam,1Story,1956,1956,952,2,1,TA,0,NA,Detchd,1956,1,283,2008,Normal,135750
78,8635,BrkSide,1Fam,1.5Fin,1948,2001,1285,2,1,TA,0,NA,Detchd,1948,1,240,2008,Normal,127000
79,10778,Sawyer,Duplex,1Story,1968,1968,1768,4,2,TA,0,NA,NA,NA,0,0,2010,Normal,136500
80,10440,OldTown,1Fam,2Story,1910,1981,1230,2,1,TA,0,NA,Detchd,1966,2,440,2009,Normal,110000
81,13000,NAmes,1Fam,2Story,1968,1968,2142,4,1,Gd,1,Gd,Attchd,1968,1,509,2009,Normal,193500
82,4500,Mitchel,TwnhsE,1Story,1998,1998,1337,2,1,TA,0,NA,Attchd,1998,2,405,2006,Normal,153500
83,10206,Somerst,1Fam,1Story,2007,2007,1563,3,1,Gd,1,Gd,Attchd,2007,3,758,2008,Normal,245000
84,8892,NAmes,1Fam,1Story,1960,1960,1065,3,1,TA,0,NA,Detchd,1974,2,461,2007,Normal,126500
85,8530,Gilbert,1Fam,SLvl,1995,1996,1474,3,1,TA,1,TA,BuiltIn,1995,2,400,2009,Normal,168500
86,16059,NoRidge,1Fam,2Story,1991,1992,2417,4,1,Gd,1,TA,Attchd,1991,2,462,2006,Normal,260000
87,11911,Gilbert,1Fam,2Story,2005,2005,1560,3,1,Gd,1,Gd,BuiltIn,2005,2,400,2009,Normal,174000
88,3951,Somerst,TwnhsE,2Story,2009,2009,1224,2,1,Gd,0,NA,Detchd,2009,2,528,2009,Partial,164500
89,8470,IDOTRR,1Fam,1.5Fin,1915,1982,1526,2,1,Fa,0,NA,NA,NA,0,0,2009,Abnorml,85000
90,8070,CollgCr,1Fam,1Story,1994,1995,990,3,1,TA,0,NA,NA,NA,0,0,2007,Normal,123600
91,7200,NAmes,1Fam,1Story,1950,1950,1040,2,1,TA,0,NA,Detchd,1950,2,420,2006,Normal,109900
92,8500,NAmes,1Fam,1Story,1961,1961,1235,2,1,TA,0,NA,Attchd,1961,2,480,2006,Abnorml,98600
93,13360,Crawfor,1Fam,1Story,1921,2006,964,2,1,TA,0,NA,Detchd,1921,2,432,2009,Normal,163500
94,7200,OldTown,2fmCon,2.5Unf,1910,1998,2291,4,2,TA,1,Gd,Detchd,1900,2,506,2007,Normal,133900
95,9337,CollgCr,1Fam,2Story,1997,1997,1786,3,1,Gd,0,NA,Attchd,1997,2,684,2007,Normal,204750
96,9765,Gilbert,1Fam,2Story,1993,1993,1470,3,1,TA,1,TA,BuiltIn,1993,2,420,2009,Normal,185000
97,10264,CollgCr,1Fam,1Story,1999,1999,1588,3,1,Gd,0,NA,Attchd,1999,2,472,2006,Normal,214000
98,10921,Edwards,1Fam,1Story,1965,1965,960,3,1,TA,0,NA,Attchd,1965,1,432,2007,Normal,94750
99,10625,Edwards,1Fam,1Story,1920,1950,835,2,1,TA,0,NA,Basment,1920,1,366,2010,Abnorml,83000
100,9320,NAmes,1Fam,1Story,1959,1959,1225,3,1,TA,0,NA,NA,NA,0,0,2010,Normal,128950
101,10603,NWAmes,1Fam,1Story,1977,2001,1610,3,1,Gd,2,TA,Attchd,1977,2,480,2010,Normal,205000
102,9206,SawyerW,1Fam,2Story,1985,1985,1732,3,1,Gd,1,TA,Attchd,1985,2,476,2010,Normal,178000
103,7018,SawyerW,Duplex,1Story,1979,1979,1535,4,2,TA,0,NA,Attchd,1979,2,410,2009,Alloca,118964
104,10402,CollgCr,1Fam,1Story,2009,2009,1226,3,1,Gd,0,NA,Attchd,2009,3,740,2010,Normal,198900
105,7758,IDOTRR,1Fam,1.5Fin,1931,1950,1818,4,1,TA,2,TA,Detchd,1951,1,240,2007,Normal,169500
106,9375,Somerst,1Fam,2Story,2003,2004,1992,3,1,Gd,1,Gd,Attchd,2003,2,648,2008,Normal,250000
107,10800,OldTown,1Fam,1Story,1885,1995,1047,2,1,TA,0,NA,Detchd,1954,1,273,2007,Normal,100000
108,6000,OldTown,1Fam,1Story,1948,1950,789,2,1,TA,0,NA,Detchd,1948,1,250,2008,Partial,115000
109,8500,IDOTRR,1Fam,1.5Fin,1919,2005,1517,3,1,Fa,0,NA,NA,NA,0,0,2007,Normal,115000
110,11751,NWAmes,1Fam,1Story,1977,1977,1844,3,1,TA,1,TA,Attchd,1977,2,546,2010,Normal,190000
111,9525,Edwards,1Fam,1.5Fin,1954,1972,1855,4,1,TA,0,NA,Attchd,1954,1,325,2006,Normal,136900
112,7750,Gilbert,1Fam,SLvl,2000,2000,1430,3,1,TA,1,TA,BuiltIn,2000,2,400,2010,Normal,180000
113,9965,CollgCr,1Fam,2Story,2007,2007,2696,4,1,Ex,1,Gd,BuiltIn,2007,3,792,2007,Partial,383970
114,21000,Crawfor,1Fam,1Story,1953,1953,2259,3,1,Gd,2,Gd,Basment,1953,2,450,2007,Abnorml,217000
115,7259,Crawfor,1Fam,2Story,1945,2002,2320,3,1,Gd,1,TA,Detchd,1945,1,180,2007,Normal,259500
116,3230,Somerst,TwnhsE,2Story,1999,1999,1458,2,1,TA,1,Fa,Detchd,1999,2,440,2007,Normal,176000
117,11616,Sawyer,1Fam,1Story,1962,1962,1092,3,1,TA,1,Po,Attchd,1962,1,288,2009,Normal,139000
118,8536,Edwards,1Fam,1Story,2006,2007,1125,2,1,TA,0,NA,Attchd,2007,2,430,2007,Partial,155000
119,12376,SawyerW,1Fam,2Story,1990,1990,3222,5,1,Gd,2,TA,Attchd,1990,3,594,2010,Normal,320000
120,8461,CollgCr,1Fam,2Story,2005,2006,1456,3,1,Gd,1,Gd,Attchd,2005,2,390,2006,Partial,163990
121,21453,ClearCr,1Fam,SLvl,1969,1969,988,1,1,TA,2,TA,Attchd,1969,2,540,2006,Normal,180000
122,6060,IDOTRR,1Fam,1.5Fin,1939,1950,1123,3,1,TA,0,NA,Detchd,1979,1,264,2007,Normal,100000
123,9464,NAmes,1Fam,1Story,1958,1958,1080,3,1,TA,0,NA,Attchd,1958,1,288,2008,Normal,136000
124,7892,SawyerW,TwnhsE,1Story,1993,1993,1199,2,1,Gd,0,NA,Attchd,1993,2,530,2008,Normal,153900
125,17043,NWAmes,1Fam,1Story,1979,1998,1586,3,1,TA,1,TA,Attchd,1979,2,435,2009,Normal,181000
126,6780,IDOTRR,2fmCon,1.5Fin,1935,1982,754,2,1,TA,0,NA,NA,NA,0,0,2006,Normal,84500
127,4928,NPkVill,TwnhsE,1Story,1976,1976,958,2,1,TA,1,TA,Attchd,1977,2,440,2007,Normal,128000
128,4388,OldTown,1Fam,1.5Unf,1930,1950,840,3,1,TA,1,TA,NA,NA,0,0,2007,Normal,87000
129,7590,NAmes,1Fam,2Story,1966,1966,1348,3,1,TA,1,Fa,Attchd,1966,2,453,2006,Normal,155000
130,8973,NAmes,1Fam,1Story,1958,1991,1053,3,1,Ex,0,NA,2Types,1998,2,750,2006,Abnorml,150000
131,14200,NAmes,1Fam,2Story,1966,1966,2157,4,1,Gd,2,Gd,Attchd,1966,2,487,2006,Normal,226000
132,12224,Gilbert,1Fam,2Story,2000,2000,2054,3,1,Gd,1,TA,BuiltIn,2000,2,390,2009,Normal,244000
133,7388,NAmes,1Fam,1Story,1959,2002,1327,3,1,Gd,0,NA,Detchd,1974,2,624,2007,Normal,150750
134,6853,Timber,1Fam,1Story,2001,2002,1296,2,1,Gd,0,NA,Attchd,2001,2,471,2009,Normal,220000
135,10335,Sawyer,1Fam,1Story,1968,1993,1721,3,1,TA,1,TA,Attchd,1968,2,440,2006,Normal,180000
136,10400,NWAmes,1Fam,1Story,1970,1970,1682,3,1,TA,1,Gd,Attchd,1970,2,530,2008,Normal,174000
137,10355,NAmes,1Fam,1Story,1967,1967,1214,3,1,TA,1,Fa,Attchd,1967,1,318,2007,Normal,143000
138,11070,Mitchel,Duplex,1Story,1988,1989,1959,5,2,TA,0,NA,2Types,1989,3,766,2006,Family,171000
139,9066,CollgCr,1Fam,2Story,1999,2000,1852,3,1,Gd,2,TA,Attchd,1999,3,660,2008,Normal,230000
140,15426,CollgCr,1Fam,2Story,1997,1997,1764,3,1,Gd,0,NA,Attchd,1997,2,470,2009,Normal,231500
141,10500,NAmes,1Fam,1Story,1971,1971,864,3,1,TA,1,Po,NA,NA,0,0,2010,Normal,115000
142,11645,CollgCr,1Fam,1Story,2005,2005,1734,3,1,Gd,0,NA,Attchd,2005,2,660,2006,Normal,260000
143,8520,NAmes,1Fam,1.5Fin,1952,1952,1385,4,1,TA,0,NA,Detchd,2000,2,720,2010,Normal,166000
144,10335,CollgCr,1Fam,1Story,1999,1999,1501,3,1,Gd,0,NA,Attchd,1999,2,577,2009,Normal,204000
145,9100,Sawyer,Duplex,1Story,1963,1963,1728,6,2,TA,0,NA,Detchd,1963,2,504,2006,Abnorml,125000
146,2522,Edwards,Twnhs,2Story,2004,2006,1709,3,1,Gd,0,NA,Detchd,2004,2,380,2006,Normal,130000
147,6120,BrkSide,1Fam,1Story,1931,1993,875,2,1,TA,0,NA,Detchd,1931,1,180,2009,Normal,105000
148,9505,Gilbert,1Fam,2Story,2001,2001,2035,3,1,Gd,1,Gd,BuiltIn,2001,2,434,2010,Normal,222500
149,7500,SawyerW,1Fam,1Story,2004,2005,1080,3,1,Gd,0,NA,NA,NA,0,0,2008,Normal,141000
150,6240,BrkSide,1Fam,1.5Fin,1936,1950,1344,3,1,TA,0,NA,Detchd,1936,1,240,2006,Normal,115000
151,10356,CollgCr,1Fam,1Story,1975,1975,969,3,1,TA,0,NA,Attchd,1975,2,440,2007,Normal,122000
152,13891,NridgHt,1Fam,1Story,2007,2008,1710,2,1,Gd,1,Gd,Attchd,2007,3,866,2008,Partial,372402
153,14803,NWAmes,1Fam,2Story,1971,1971,1993,4,1,TA,1,Gd,Attchd,1971,2,495,2006,Normal,190000
154,13500,ClearCr,1Fam,1Story,1960,1975,1252,1,1,TA,1,Gd,Attchd,1960,2,564,2008,Normal,235000
155,11340,OldTown,1Fam,1Story,1923,1950,1200,4,1,TA,0,NA,Detchd,1923,1,312,2006,Family,125000
156,9600,Edwards,1Fam,1.5Fin,1924,1950,1096,2,1,TA,0,NA,NA,NA,0,0,2008,Normal,79000
157,7200,NAmes,1Fam,1Story,1950,1950,1040,2,1,TA,0,NA,Detchd,1950,2,625,2006,Normal,109500
158,12003,Timber,1Fam,2Story,2009,2010,1968,4,1,Ex,1,Gd,BuiltIn,2009,3,680,2010,Partial,269500
159,12552,Somerst,1Fam,2Story,2004,2005,1947,3,1,Gd,1,Gd,Attchd,2004,2,678,2010,Normal,254900
160,19378,Gilbert,1Fam,2Story,2005,2006,2462,4,1,Gd,1,Gd,Attchd,2006,2,576,2006,Partial,320000
161,11120,Veenker,1Fam,1Story,1984,1984,1232,3,1,TA,0,NA,Attchd,1984,2,516,2008,Normal,162500
162,13688,NridgHt,1Fam,2Story,2003,2004,2668,3,1,Ex,2,Gd,BuiltIn,2003,3,726,2008,Normal,412500
163,12182,NridgHt,1Fam,1Story,2005,2005,1541,3,1,Gd,1,Gd,Attchd,2005,2,532,2010,Partial,220000
164,5500,OldTown,1Fam,1.5Unf,1956,1956,882,1,1,TA,0,NA,NA,NA,0,0,2007,Normal,103200
165,5400,OldTown,1Fam,1Story,1926,2004,1616,3,1,Gd,0,NA,Detchd,1926,1,216,2007,Normal,152000
166,10106,Edwards,2fmCon,1.5Fin,1940,1999,1355,4,2,TA,0,NA,NA,NA,0,0,2008,Normal,127500
167,10708,ClearCr,1Fam,1Story,1955,1993,1867,2,1,TA,3,Gd,Attchd,1955,1,303,2009,Normal,190000
168,10562,NridgHt,1Fam,2Story,2007,2007,2161,3,1,Ex,1,Gd,Attchd,2007,3,789,2007,Partial,325624
169,8244,Gilbert,1Fam,2Story,2004,2004,1720,3,1,Gd,1,Gd,Attchd,2004,2,440,2007,Normal,183500
170,16669,Timber,1Fam,1Story,1981,1981,1707,2,1,TA,1,TA,Attchd,1981,2,511,2006,Normal,228000
171,12358,OldTown,1Fam,1.5Fin,1941,1950,1382,2,1,TA,0,NA,Detchd,1991,2,660,2007,Normal,128500
172,31770,NAmes,1Fam,1Story,1960,1960,1656,3,1,TA,2,Gd,Attchd,1960,2,528,2010,Normal,215000
173,5306,StoneBr,TwnhsE,2Story,1987,1987,1767,2,1,Gd,1,TA,Attchd,1987,2,504,2006,Normal,239000
174,10197,NAmes,1Fam,1Story,1961,1961,1362,3,1,TA,1,TA,Attchd,1961,2,504,2008,Normal,163000
175,12416,Timber,1Fam,1Story,1986,1986,1651,3,1,TA,1,TA,Attchd,1986,2,616,2008,Normal,184000
176,12615,Edwards,1Fam,1Story,1950,2001,2158,4,1,Gd,1,Gd,Attchd,1950,2,576,2007,Normal,243000
177,10029,ClearCr,1Fam,2Story,1988,1989,2060,4,1,TA,1,TA,Attchd,1988,2,521,2007,Normal,211000
178,13650,Sawyer,1Fam,1.5Fin,1958,1958,1920,4,1,Gd,1,Gd,Attchd,1958,2,451,2006,Normal,172500
179,17423,StoneBr,1Fam,1Story,2008,2009,2234,1,1,Ex,1,Gd,Attchd,2009,3,1166,2009,Partial,501837
180,8520,OldTown,1Fam,1Story,1923,2006,968,2,1,TA,0,NA,Detchd,1935,2,480,2007,Normal,100000
181,2117,Somerst,Twnhs,2Story,2000,2000,1525,3,1,Gd,1,TA,Detchd,2000,2,440,2007,Normal,177000
182,7588,Crawfor,1Fam,2Story,1920,1950,1802,4,1,TA,1,Gd,Detchd,1920,1,216,2006,Normal,200100
183,9060,Edwards,1Fam,1Story,1957,2006,1340,3,1,TA,1,Gd,Attchd,1957,1,252,2007,Normal,120000
184,11426,OldTown,1Fam,1.5Fin,2003,2003,2082,3,1,Gd,0,NA,Detchd,2003,2,484,2008,Normal,200000
185,7438,BrkSide,1Fam,1.5Fin,1908,1991,1252,3,1,TA,0,NA,Attchd,1986,2,576,2006,Normal,127000
186,22950,OldTown,1Fam,2.5Fin,1892,1993,3608,4,1,Ex,2,TA,Detchd,1993,3,840,2006,Normal,475000
187,9947,Mitchel,1Fam,SLvl,1990,1991,1217,3,1,Gd,0,NA,Attchd,1990,2,497,2009,Normal,173000
188,10410,OldTown,1Fam,1.5Fin,1916,1987,1656,3,1,TA,0,NA,Detchd,1916,1,180,2009,Normal,135000
189,7018,SawyerW,Duplex,SFoyer,1979,1979,1224,2,2,TA,2,TA,Detchd,1979,2,528,2009,Alloca,153337
190,4923,StoneBr,TwnhsE,1Story,2001,2002,1593,0,1,Ex,1,Gd,Attchd,2001,2,682,2008,Normal,286000
191,10570,Crawfor,1Fam,2Story,1932,1994,2727,3,1,Gd,2,TA,Detchd,1932,2,440,2007,Normal,315000
192,7472,NAmes,1Fam,2Story,1972,2004,1479,4,1,Gd,0,NA,Attchd,1972,2,484,2007,Normal,184000
193,9017,CollgCr,1Fam,1Story,1999,1999,1431,3,1,Gd,0,NA,Attchd,1999,2,666,2009,Normal,192000
194,2522,Edwards,Twnhs,2Story,2004,2004,1709,3,1,Gd,0,NA,Detchd,2004,2,380,2006,Normal,130000
195,7180,CollgCr,1Fam,1Story,1972,1972,864,3,1,TA,0,NA,Detchd,1989,1,352,2008,Normal,127000
196,2280,NPkVill,Twnhs,2Story,1976,1976,1456,3,1,TA,1,TA,Attchd,1976,2,440,2009,Normal,148500
197,9416,Somerst,1Fam,1Story,2007,2007,1726,3,1,Ex,1,Gd,Attchd,2007,3,786,2007,Partial,311872
198,25419,NAmes,1Fam,2Story,1918,1990,3112,4,1,Gd,1,Ex,Detchd,1918,2,795,2006,Abnorml,235000
199,5520,OldTown,1Fam,2.5Fin,1912,1950,2229,5,1,TA,0,NA,NA,NA,0,0,2009,Abnorml,104000
200,9591,NridgHt,1Fam,1Story,2004,2005,1713,3,1,Ex,1,Gd,Attchd,2004,3,856,2009,Normal,274900
201,8546,Edwards,1Fam,1Story,2003,2004,1121,2,1,TA,0,NA,Attchd,2003,2,440,2010,Normal,140000
202,10125,Mitchel,1Fam,1Story,1977,1977,1279,3,1,TA,2,Fa,Detchd,1980,2,473,2008,Normal,171500
203,7000,OldTown,1Fam,1.5Fin,1924,1950,1310,2,1,TA,0,NA,Attchd,1924,1,398,2006,Normal,112000
204,4438,CollgCr,TwnhsE,1Story,2004,2004,848,1,1,Gd,1,Gd,Attchd,2004,2,420,2008,Normal,149000
205,3500,OldTown,1Fam,1.5Fin,1947,1950,1284,2,1,TA,0,NA,Detchd,1948,1,240,2009,Normal,110000
206,11851,Gilbert,1Fam,1Story,1990,1990,1442,3,1,TA,0,NA,Attchd,1990,2,500,2009,Normal,180500
207,13673,Sawyer,1Fam,1Story,1962,1962,1696,3,1,TA,1,TA,Attchd,1962,1,349,2007,Normal,143900
208,12493,NAmes,1Fam,1Story,1960,1960,1100,3,1,TA,1,Po,Attchd,1960,1,312,2008,Normal,141000
209,14364,SawyerW,1Fam,2Story,1988,1989,2062,3,1,TA,1,Gd,Attchd,1988,2,454,2007,Normal,277000
210,8250,NAmes,1Fam,1Story,1964,1964,1092,3,1,TA,0,NA,Attchd,1964,2,504,2008,Normal,145000
211,5604,Edwards,1Fam,1Story,1925,1950,864,2,1,TA,0,NA,NA,NA,0,0,2008,Normal,98000
212,10420,Edwards,1Fam,1Story,2009,2009,1212,3,1,Gd,0,NA,Attchd,2009,2,460,2010,Normal,186000
213,8640,Somerst,1Fam,2Story,2009,2009,1852,3,1,Gd,1,TA,Attchd,2009,2,644,2009,Partial,252678
214,13568,CollgCr,1Fam,1Story,1995,1995,990,3,1,TA,0,NA,Attchd,1996,2,576,2006,Normal,156000
